Book Name,Author,Author_Rating,Book_average_rating,genre,sale price,combined
Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",Intermediate,4.0,genre fiction,0.99,"Because of Winn-Dixie Kate DiCamillo, Chris Sheban genre fiction"
A Separate Peace,John Knowles,Intermediate,3.56,genre fiction,3.89,A Separate Peace John Knowles genre fiction
The Rainmaker,John Grisham,Intermediate,3.91,genre fiction,7.99,The Rainmaker John Grisham genre fiction
Don Quijote de La Mancha,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",Intermediate,3.85,genre fiction,8.99,"Don Quijote de La Mancha Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford genre fiction"
Assassin's Apprentice,Robin Hobb,Intermediate,4.14,genre fiction,1.99,Assassin's Apprentice Robin Hobb genre fiction
The Restaurant at the End of the Universe,Douglas Adams,Intermediate,4.22,genre fiction,7.99,The Restaurant at the End of the Universe Douglas Adams genre fiction
Torment,Lauren Kate,Intermediate,3.89,genre fiction,3.99,Torment Lauren Kate genre fiction
The Tale of Peter Rabbit,Beatrix Potter,Intermediate,4.17,genre fiction,6.99,The Tale of Peter Rabbit Beatrix Potter genre fiction
The Silver Chair,"C.S. Lewis, Pauline Baynes",Intermediate,3.95,genre fiction,3.79,"The Silver Chair C.S. Lewis, Pauline Baynes genre fiction"
The Hero of Ages,Brandon Sanderson,Famous,4.46,nonfiction,4.21,The Hero of Ages Brandon Sanderson nonfiction
"Girl, Interrupted",Susanna Kaysen,Intermediate,3.9,genre fiction,1.99,"Girl, Interrupted Susanna Kaysen genre fiction"
"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,Intermediate,3.85,genre fiction,3.99,"Are You There, Vodka? It's Me, Chelsea Chelsea Handler genre fiction"
Jonathan Livingston Seagull,"Richard Bach, Russell Munson",Intermediate,3.8,genre fiction,4.99,"Jonathan Livingston Seagull Richard Bach, Russell Munson genre fiction"
City of Heavenly Fire,Cassandra Clare,Famous,4.48,genre fiction,4.99,City of Heavenly Fire Cassandra Clare genre fiction
Love You Forever,"Robert Munsch, Sheila McGraw",Intermediate,4.34,genre fiction,0.99,"Love You Forever Robert Munsch, Sheila McGraw genre fiction"
Cell,Stephen King,Intermediate,3.64,genre fiction,4.54,Cell Stephen King genre fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Intermediate,4.32,genre fiction,6.49,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics Daniel James Brown genre fiction
The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",Intermediate,3.87,genre fiction,4.99,"The Silmarillion J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith genre fiction"
The Drawing of the Three,Stephen King,Intermediate,4.23,nonfiction,1.99,The Drawing of the Three Stephen King nonfiction
The Forgotten Garden,Kate Morton,Intermediate,4.12,genre fiction,3.99,The Forgotten Garden Kate Morton genre fiction
Der ProzeÃŸ,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",Intermediate,3.98,genre fiction,0.99,"Der ProzeÃŸ Franz Kafka, Edwin Muir, Willa Muir, Max Brod genre fiction"
This Lullaby,Sarah Dessen,Intermediate,4.03,genre fiction,1.99,This Lullaby Sarah Dessen genre fiction
Plain Truth,Jodi Picoult,Intermediate,3.97,genre fiction,0.99,Plain Truth Jodi Picoult genre fiction
Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,Intermediate,3.7,fiction,1.99,Orange Is the New Black: My Year in a Women's Prison Piper Kerman fiction
The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",Intermediate,4.09,genre fiction,1.99,"The Hound of the Baskervilles Arthur Conan Doyle, Anne Perry genre fiction"
"Thinking, Fast and Slow",Daniel Kahneman,Intermediate,4.08,genre fiction,0.99,"Thinking, Fast and Slow Daniel Kahneman genre fiction"
The Mists of Avalon,Marion Zimmer Bradley,Intermediate,4.12,genre fiction,0.99,The Mists of Avalon Marion Zimmer Bradley genre fiction
"Are You There God? It's Me, Margaret",Judy Blume,Intermediate,3.89,genre fiction,0.99,"Are You There God? It's Me, Margaret Judy Blume genre fiction"
Nights in Rodanthe,Nicholas Sparks,Intermediate,3.82,genre fiction,4.99,Nights in Rodanthe Nicholas Sparks genre fiction
Mr. Mercedes,Stephen King,Intermediate,3.92,genre fiction,1.99,Mr. Mercedes Stephen King genre fiction
All Together Dead,Charlaine Harris,Intermediate,4.05,genre fiction,6.49,All Together Dead Charlaine Harris genre fiction
Midwives,Chris Bohjalian,Intermediate,3.97,genre fiction,6.49,Midwives Chris Bohjalian genre fiction
The Polar Express,Chris Van Allsburg,Intermediate,4.29,nonfiction,0.99,The Polar Express Chris Van Allsburg nonfiction
The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",Intermediate,4.29,genre fiction,0.99,"The True Story of the Three Little Pigs Jon Scieszka, Lane Smith genre fiction"
Patriot Games,Tom Clancy,Intermediate,4.11,genre fiction,5.99,Patriot Games Tom Clancy genre fiction
Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",Intermediate,3.69,genre fiction,6.83,"Veronika decide morrer Paulo Coelho, Margaret Jull Costa genre fiction"
"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",Intermediate,3.94,genre fiction,0.99,"Lean In: Women, Work, and the Will to Lead Sheryl Sandberg, Nell Scovell genre fiction"
Dead as a Doornail ,Charlaine Harris,Intermediate,4.01,genre fiction,5.12,Dead as a Doornail  Charlaine Harris genre fiction
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,Intermediate,4.01,fiction,2.24,"Shatter Me (Shatter Me, #1) Tahereh Mafi fiction"
Starship Troopers,Robert A. Heinlein,Intermediate,3.99,genre fiction,7.5,Starship Troopers Robert A. Heinlein genre fiction
I've Got Your Number,Sophie Kinsella,Intermediate,3.93,genre fiction,0.99,I've Got Your Number Sophie Kinsella genre fiction
Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",Intermediate,3.88,genre fiction,10.65,"Sofies Verden Jostein Gaarder, Paulette MÃ¸ller genre fiction"
The Martian Chronicles,Ray Bradbury,Intermediate,4.12,genre fiction,1.99,The Martian Chronicles Ray Bradbury genre fiction
A Visit From the Goon Squad,Jennifer Egan,Intermediate,3.64,genre fiction,4.99,A Visit From the Goon Squad Jennifer Egan genre fiction
Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Intermediate,3.97,genre fiction,3.99,"Heidi Johanna Spyri, Angelo  Rinaldi, Beverly Cleary genre fiction"
Prey,Michael Crichton,Intermediate,3.72,genre fiction,1.99,Prey Michael Crichton genre fiction
The Last Battle,C.S. Lewis,Intermediate,4.02,genre fiction,6.5,The Last Battle C.S. Lewis genre fiction
World Without End,Ken Follett,Intermediate,4.23,genre fiction,0.99,World Without End Ken Follett genre fiction
Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",Intermediate,3.9,fiction,8.48,"Chosen: A House of Night Novel P.C. Cast, Kristin Cast fiction"
Slammed,Colleen Hoover,Intermediate,4.29,genre fiction,0.99,Slammed Colleen Hoover genre fiction
"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,Intermediate,3.84,genre fiction,0.99,"Beastly (Beastly, #1, Kendra Chronicles, #1) Alex Flinn genre fiction"
Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",Novice,3.48,genre fiction,0.99,"Tales of Caunterbury Geoffrey Chaucer, Nevill Coghill genre fiction"
Baby Proof,Emily Giffin,Intermediate,3.71,nonfiction,6.49,Baby Proof Emily Giffin nonfiction
Inheritance,Christopher Paolini,Intermediate,4.08,nonfiction,11.99,Inheritance Christopher Paolini nonfiction
ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",Intermediate,3.89,genre fiction,2.99,"ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon] Haruki Murakami, Jay Rubin, Philip Gabriel genre fiction"
Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,Intermediate,3.83,fiction,1.99,Uncle Tom's Cabin or Life Among the Lowly Harriet Beecher Stowe fiction
Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",Intermediate,3.97,genre fiction,3.99,"Le FantÃ´me de l'OpÃ©ra Gaston Leroux, Alexander Teixeira de Mattos genre fiction"
"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,Intermediate,4.02,genre fiction,7.5,"Definitely Dead (Sookie Stackhouse, #6) Charlaine Harris genre fiction"
Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",Intermediate,4.08,genre fiction,3.99,"Ensaio Sobre a Cegueira JosÃ© Saramago, Giovanni Pontiero genre fiction"
Freedom,Jonathan Franzen,Intermediate,3.73,genre fiction,7.99,Freedom Jonathan Franzen genre fiction
Crossed,Ally Condie,Intermediate,3.52,genre fiction,0.99,Crossed Ally Condie genre fiction
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,Intermediate,3.82,genre fiction,11.99,"I'd Tell You I Love You, But Then I'd Have to Kill You Ally Carter genre fiction"
The White Tiger,Aravind Adiga,Intermediate,3.71,genre fiction,7.99,The White Tiger Aravind Adiga genre fiction
The Corrections,Jonathan Franzen,Intermediate,3.78,genre fiction,0.99,The Corrections Jonathan Franzen genre fiction
Dreams from My Father,Barack Obama,Intermediate,3.81,nonfiction,1.99,Dreams from My Father Barack Obama nonfiction
Congo,Michael Crichton,Intermediate,3.55,nonfiction,6.99,Congo Michael Crichton nonfiction
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",Intermediate,4.22,genre fiction,2.99,"Alexander and the Terrible, Horrible, No Good, Very Bad Day Judith Viorst, Ray Cruz genre fiction"
Interpreter of Maladies,Jhumpa Lahiri,Intermediate,4.12,genre fiction,10.65,Interpreter of Maladies Jhumpa Lahiri genre fiction
A People's History of the United States: 1492 to Present ,Howard Zinn,Intermediate,4.07,genre fiction,3.99,A People's History of the United States: 1492 to Present  Howard Zinn genre fiction
Breakfast at Tiffany's,Truman Capote,Intermediate,3.89,genre fiction,0.99,Breakfast at Tiffany's Truman Capote genre fiction
The Passage,Justin Cronin,Intermediate,4.04,genre fiction,3.99,The Passage Justin Cronin genre fiction
Anansi Boys,Neil Gaiman,Intermediate,4.0,nonfiction,1.99,Anansi Boys Neil Gaiman nonfiction
Along for the Ride,Sarah Dessen,Intermediate,4.08,genre fiction,11.99,Along for the Ride Sarah Dessen genre fiction
Everything I Never Told You,Celeste Ng,Intermediate,3.78,genre fiction,3.99,Everything I Never Told You Celeste Ng genre fiction
La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",Intermediate,4.2,genre fiction,10.67,"La casa de los espÃ­ritus Isabel Allende, Magda Bogin genre fiction"
The Dead Zone,Stephen King,Intermediate,3.9,genre fiction,1.99,The Dead Zone Stephen King genre fiction
The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",Intermediate,3.98,genre fiction,3.99,"The Mysterious Affair at Styles Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï… genre fiction"
Murder in the Calais Coach,Agatha Christie,Intermediate,4.16,genre fiction,4.99,Murder in the Calais Coach Agatha Christie genre fiction
Americanah,Chimamanda Ngozi Adichie,Intermediate,4.26,genre fiction,3.99,Americanah Chimamanda Ngozi Adichie genre fiction
Suzanne's Diary for Nicholas,James Patterson,Intermediate,4.16,genre fiction,4.99,Suzanne's Diary for Nicholas James Patterson genre fiction
Firestarter,Stephen King,Intermediate,3.85,genre fiction,3.99,Firestarter Stephen King genre fiction
Entwined with You,Sylvia Day,Intermediate,4.19,genre fiction,0.99,Entwined with You Sylvia Day genre fiction
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,Intermediate,4.27,genre fiction,4.99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen Christopher McDougall genre fiction"
The Storied Life of A.J. Fikry,Gabrielle Zevin,Intermediate,3.98,genre fiction,7.51,The Storied Life of A.J. Fikry Gabrielle Zevin genre fiction
Mad About Madeline,Ludwig Bemelmans,Intermediate,4.22,genre fiction,0.99,Mad About Madeline Ludwig Bemelmans genre fiction
Think and Grow Rich,Napoleon Hill,Intermediate,4.17,genre fiction,0.99,Think and Grow Rich Napoleon Hill genre fiction
Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",Intermediate,4.16,genre fiction,0.99,"Little House In The Big Woods Laura Ingalls Wilder, Garth Williams genre fiction"
Jonathan Strange & Mr Norrell,Susanna Clarke,Intermediate,3.8,genre fiction,7.99,Jonathan Strange & Mr Norrell Susanna Clarke genre fiction
A Bend in the Road,Nicholas Sparks,Intermediate,4.02,genre fiction,1.99,A Bend in the Road Nicholas Sparks genre fiction
The House of Hades,Rick Riordan,Famous,4.54,nonfiction,0.99,The House of Hades Rick Riordan nonfiction
Gone,Michael  Grant,Intermediate,3.85,genre fiction,5.49,Gone Michael  Grant genre fiction
The Wedding,Nicholas Sparks,Intermediate,3.98,genre fiction,0.99,The Wedding Nicholas Sparks genre fiction
1776,David McCullough,Intermediate,4.06,genre fiction,11.84,1776 David McCullough genre fiction
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,Intermediate,3.98,genre fiction,0.99,Under the Banner of Heaven: A Story of Violent Faith Jon Krakauer genre fiction
Beautiful Ruins,Jess Walter,Intermediate,3.67,genre fiction,14.99,Beautiful Ruins Jess Walter genre fiction
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,Intermediate,3.69,genre fiction,4.99,The Audacity of Hope: Thoughts on Reclaiming the American Dream Barack Obama genre fiction
On Writing: A Memoir of the Craft,Stephen King,Intermediate,4.31,genre fiction,2.99,On Writing: A Memoir of the Craft Stephen King genre fiction
Firefly Lane,Kristin Hannah,Intermediate,4.04,genre fiction,4.99,Firefly Lane Kristin Hannah genre fiction
Sphere,Michael Crichton,Intermediate,3.77,genre fiction,6.99,Sphere Michael Crichton genre fiction
Love the One You're With,Emily Giffin,Intermediate,3.7,genre fiction,8.99,Love the One You're With Emily Giffin genre fiction
The Silkworm,"Robert Galbraith, J.K. Rowling",Intermediate,4.03,genre fiction,0.99,"The Silkworm Robert Galbraith, J.K. Rowling genre fiction"
The Vampire Lestat,Anne Rice,Intermediate,4.05,genre fiction,0.99,The Vampire Lestat Anne Rice genre fiction
State of Wonder,Ann Patchett,Intermediate,3.85,genre fiction,2.0,State of Wonder Ann Patchett genre fiction
The Silver Linings Playbook,Matthew Quick,Intermediate,4.0,genre fiction,0.99,The Silver Linings Playbook Matthew Quick genre fiction
Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",Intermediate,3.86,genre fiction,5.95,"Vingt Mille Lieues Sous les Mers Jules Verne, Anthony Bonner genre fiction"
The Constant Princess,Philippa Gregory,Intermediate,3.88,genre fiction,5.99,The Constant Princess Philippa Gregory genre fiction
Mrs Dalloway,"Virginia Woolf, Maureen Howard",Intermediate,3.78,genre fiction,1.99,"Mrs Dalloway Virginia Woolf, Maureen Howard genre fiction"
HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,"Jonas Jonasson, Rod Bradbury",Intermediate,3.81,genre fiction,8.89,"HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann Jonas Jonasson, Rod Bradbury genre fiction"
Bag of Bones,Stephen King,Intermediate,3.87,genre fiction,0.99,Bag of Bones Stephen King genre fiction
The Cider House Rules,John Irving,Intermediate,4.1,genre fiction,1.99,The Cider House Rules John Irving genre fiction
Thinner,"Richard Bachman, Stephen King",Intermediate,3.66,genre fiction,2.99,"Thinner Richard Bachman, Stephen King genre fiction"
Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",Intermediate,3.9,genre fiction,7.99,"Le tour du monde en quatre-vingts jours Jules Verne, Michael Glencross, Brian W. Aldiss genre fiction"
Walk Two Moons,Sharon Creech,Intermediate,3.95,nonfiction,0.99,Walk Two Moons Sharon Creech nonfiction
Onze minutos,"Paulo Coelho, Margaret Jull Costa",Intermediate,3.69,genre fiction,0.99,"Onze minutos Paulo Coelho, Margaret Jull Costa genre fiction"
Nine Stories,J.D. Salinger,Intermediate,4.19,genre fiction,3.99,Nine Stories J.D. Salinger genre fiction
"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,Intermediate,3.67,nonfiction,2.99,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen Julie Powell nonfiction"
Unwind,Neal Shusterman,Intermediate,4.18,genre fiction,0.99,Unwind Neal Shusterman genre fiction
"Drums of Autumn (Outlander, #4)",Diana Gabaldon,Intermediate,4.34,nonfiction,1.99,"Drums of Autumn (Outlander, #4) Diana Gabaldon nonfiction"
Prodigy,Marie Lu,Intermediate,4.29,genre fiction,2.99,Prodigy Marie Lu genre fiction
The Tragedie of King Lear,William Shakespeare,Intermediate,3.89,genre fiction,3.99,The Tragedie of King Lear William Shakespeare genre fiction
Death of a Salesman,Arthur Miller,Novice,3.49,genre fiction,10.91,Death of a Salesman Arthur Miller genre fiction
The Choice,Nicholas Sparks,Intermediate,3.99,genre fiction,2.99,The Choice Nicholas Sparks genre fiction
The Sound and the Fury,William Faulkner,Intermediate,3.86,genre fiction,4.99,The Sound and the Fury William Faulkner genre fiction
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,Intermediate,4.02,genre fiction,0.99,A New Earth: Awakening to Your Life's Purpose Eckhart Tolle genre fiction
BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,Intermediate,4.21,fiction,5.34,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1 Tite Kubo fiction
The Shadow Rising ,Robert Jordan,Intermediate,4.21,nonfiction,4.26,The Shadow Rising  Robert Jordan nonfiction
Shantaram,Gregory David Roberts,Intermediate,4.26,genre fiction,0.99,Shantaram Gregory David Roberts genre fiction
From Dead to Worse,Charlaine Harris,Intermediate,4.01,genre fiction,0.99,From Dead to Worse Charlaine Harris genre fiction
The Waste Lands,"Stephen King, Ned Dameron",Intermediate,4.24,genre fiction,2.99,"The Waste Lands Stephen King, Ned Dameron genre fiction"
The Bone Collector,Jeffery Deaver,Intermediate,4.18,genre fiction,10.99,The Bone Collector Jeffery Deaver genre fiction
